TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player
6,22,BB McCullum,caught,RA Jadeja,8,1,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-22,"Jadeja looks a bit bemused as he clings to this at mid-off. How soft was that! Wasn't quite to the pitch of this full delivery on off stump but he's been driving quite well in this little innings and backed himself. But he could not keep the ball down and nor could he place it properly. Straight into the hands of the fielder, if a little above his head. Jaddu was actually worried about the backdrop of the crowd, but he was good enough to still catch it. McCullum stares at the pitch as he walks off. Is it a bit two-paced?.",,InField,"22. BB McCullum c RA Jadeja b Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (1st innings)",Shami
6,23,KS Williamson,caught,RG Sharma,47,1,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-23,"Rohit claims the catch at second slip and it was a good one too, diving low to his left! Not so lucky on the third time he gets an edge. Excellent line from Shami as he probes the off stump corridor and snares the outside edge as this back of a length ball straightens after pitching.",,slip-cordon,"23. KS Williamson c RG Sharma b Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (1st innings)",Shami
6,24,JDS Neesham,caught,MS Dhoni,33,1,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-24,"another ungainly shot, or rather no shot, and this one leads to his wicket! Was a little late in deciding to leave this length ball around the off stump corridor and it runs off the face of his bat to the keeper.",,Keeper,"24. JDS Neesham c MS Dhoni b Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (1st innings)",Shami
6,25,TA Boult,caught,CA Pujara,2,1,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-25,"oh, what a catch! That's Pujara's second grab at short leg, but the last one was off a no-ball. Shami gets the short ball right this time as he makes Boult fend off the back foot. The ball goes reasonably sharply to the man close in but Pujara dived to his left and held on wonderfully well.",Yes,close-in,"25. TA Boult c CA Pujara b Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (1st innings)",Shami
6,26,TWM Latham,caught,MS Dhoni,29,3,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-26,"and Latham is not going to be a happy man at all! He's pushed at one outside off and nicks off to the keeper. It was just back of a length, but wide enough to be left alone. But Latham has made a poor choice and has to walk back. He's rather peeved with himself. That will be lunch, just about the perfect morning session for India as they push for what will be a much-savoured win..",,Keeper,"26. TWM Latham c MS Dhoni b Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (2nd innings)",Shami
6,27,BJ Watling,lbw,,124,3,v New Zealand,Wellington,New Zealand,14-Feb-14,Test # 2120,shami-wkt-27,he's gone! Struck on the back foot as this darts in after pitching rather full. Tries to defend but he misses it and that would have just clipped leg. So ends a magnificent innings from BJ Watling. The longest by a NZ wicketkeeper and he is supremely disappointed. The game is still in the balance and the new ball seems to be talking.,,,"27. BJ Watling lbw  Shami
Test Match#: 6.0: v New Zealand at Wellington in 2014 (2nd innings)",Shami
7,28,AN Cook,bowled,,5,2,v England,Nottingham,England,09-Jul-14,Test # 2128,shami-wkt-28,"he is got him! Cook's horror run continues! He loses his leg stump. Smart bowling from Shami as Cook was repeatedly exposing his stumps in the previous over, walking too far over to the off side. Shami keeps it straight and simple, targets the stumps, gets it to wobble just enough to beat the batsman's attempted push to the leg side, hits the pads along the way and then bingo...",,,"28. AN Cook b  Shami
Test Match#: 7.0: v England at Nottingham in 2014 (1st innings)",Shami
7,29,MM Ali,caught,S Dhawan,14,2,v England,Nottingham,England,09-Jul-14,Test # 2128,shami-wkt-29,"this is gone! Weird dismissal but guess what, this edge has carried to first slip. I will explain how. So this is an intended bouncer, and Moeen was surprised, took his eyes off completely! But this one doesn't get up as much as he would have wanted, hits his glove and lobs up for the slip fielder. He walks away immediately, accepting he had made a poor decision to take his eyes off.",,slip-cordon,"29. MM Ali c S Dhawan b Shami
Test Match#: 7.0: v England at Nottingham in 2014 (1st innings)",Shami
8,30,MJ Prior,caught,S Dhawan,23,2,v England,Lord's,England,17-Jul-14,Test # 2130,shami-wkt-30,"a breakthrough, Prior goes for the pull as Shami bangs it short, hits the top edge and the ball swirls high over the slip cordon, usually you expect the keeper to be under these sort of chances, Dhawan was a little ahead of Dhoni though, and he called for it and pulls off a sharp catch, he enjoyed that immensely.",,slip-cordon,"30. MJ Prior c S Dhawan b Shami
Test Match#: 8.0: v England at Lord's in 2014 (1st innings)",Shami
8,31,GS Ballance,caught,MS Dhoni,27,4,v England,Lord's,England,17-Jul-14,Test # 2130,shami-wkt-31,"wicket first ball, Ballance has to go, pitched up and outside off, Ballance pokes at that one away from his body, and through for a simple catch to Dhoni.",,Keeper,"31. GS Ballance c MS Dhoni b Shami
Test Match#: 8.0: v England at Lord's in 2014 (2nd innings)",Shami
9,32,SD Robson,caught,RA Jadeja,26,1,v England,Southampton,England,27-Jul-14,Test # 2132,shami-wkt-32,Jaddu takes it now at third slip! It was back of a length and had Robson caught in the crease. He had to play and just that inch of away movement is enough for the outside edge. Comfortable grab to the fielder's right.,,slip-cordon,"32. SD Robson c RA Jadeja b Shami
Test Match#: 9.0: v England at Southampton in 2014 (1st innings)",Shami
10,33,NM Lyon,bowled,,3,1,v Australia,Adelaide,Australia,09-Dec-14,Test # 2148,shami-wkt-33,"through him! Shami has made an important break. It was a good length ball targeting middle. Lyon did not move forward enough to counter the ball moving back in and it takes an inside edge, gets the top flap of the pad and hits timber.",,,"33. NM Lyon b  Shami
Test Match#: 10.0: v Australia at Adelaide in 2014 (1st innings)",Shami
10,34,BJ Haddin,caught,WP Saha,0,1,v Australia,Adelaide,India,09-Dec-14,Test # 2148,shami-wkt-34,"there it is, India have ended the day on a high! Haddin was struggling around the off stump and this time the edge carries through to the keeper. Beautiful delivery, and that is what the new ball can do and then placing it in the right areas - on and around off stump with some late seam away.",,Keeper,"34. BJ Haddin c WP Saha b Shami
Test Match#: 10.0: v Australia at Adelaide in 2014 (1st innings)",Shami
10,35,SR Watson,bowled,,33,3,v Australia,Adelaide,India,09-Dec-14,Test # 2148,shami-wkt-35,toppled him! Shami uses reverse swing to exploit the huge gap between bat and pad as Watson drives on the up. Beautiful bowling that as he hit that in-between length and lures the false shot.,,,"35. SR Watson b  Shami
Test Match#: 10.0: v Australia at Adelaide in 2014 (2nd innings)",Shami
11,36,CJL Rogers,caught,MS Dhoni,57,1,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-36,"bowls length delivery outside off and manages to get the outside edge! If they needed any confirmation about what is the right length to bowl on this pitch, this is it. Rogers pushed at it but it kept going away with the angle.",,Keeper,"36. CJL Rogers c MS Dhoni b Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (1st innings)",Shami
11,37,SE Marsh,caught,MS Dhoni,32,1,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-37,"another one for Shami! This is a loose shot by Marsh. It's the length delivery outside off again, and Marsh goes for a front foot cut shot, which would have worked well in sub-continent, but not here.. The bounce means it takes the outside edge and flies to the keeper.",,Keeper,"37. SE Marsh c MS Dhoni b Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (1st innings)",Shami
11,38,BJ Haddin,caught,MS Dhoni,55,1,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-38,a wicket from nowhere! Haddin looks to leave this length delivery outside off but is a little too late to get his bat out of the way.. this takes the bottom edge and dies on to the keeper but Dhoni takes a good low catch.,,Keeper,"38. BJ Haddin c MS Dhoni b Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (1st innings)",Shami
11,39,NM Lyon,bowled,,11,1,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-39,"swings and misses a straight one, that one hits the leg stump. Lyon doesn't really care. He has done the job of rubbing it in..",,,"39. NM Lyon b  Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (1st innings)",Shami
11,40,MG Johnson,caught,AM Rahane,15,3,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-40,"end of Johnson's stay! Shami bowls a bouncer and Johnson has a swing at that, gets a bit of top-edge and it lobs up for the man at midwicket. Just got a bit too big on him. Lots of words from Indian fielders has Johnson walks back.",,InField,"40. MG Johnson c AM Rahane b Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (2nd innings)",Shami
11,41,RJ Harris,caught,MS Dhoni,21,3,v Australia,Melbourne,Australia,26-Dec-14,Test # 2152,shami-wkt-41,finally a wicket breaks the monotony of the morning! This one swings away from a length and catches the outside edge through to the keeper.,,Keeper,"41. RJ Harris c MS Dhoni b Shami
Test Match#: 11.0: v Australia at Melbourne in 2014 (2nd innings)",Shami
12,42,CJL Rogers,bowled,,95,1,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-42,"two in two overs for India, Rogers plays on as he tries to flay another length ball on the up, shuffled across and closed the face on it a touch and it clattered into the stumps off a thick inside edge, he is disgusted with himself, goes five short of 100.",,,"42. CJL Rogers b  Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (1st innings)",Shami
12,43,SR Watson,caught,R Ashwin,81,1,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-43,"and Watson has thrown away a Test hundred on a flat pitch against a flatter attack, another short ball, he forces the pull this time, and picks out the man at deep midwicket, who was in some way from the rope.",,Outfield,"43. SR Watson c R Ashwin b Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (1st innings)",Shami
12,44,SE Marsh,caught,WP Saha,73,1,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-44,"lovely take from Saha, Marsh was trying to guide this short of a length delivery with the angle leaving him, steered it too fine, between the keeper and wide slip, and Saha moved quickly to his left, and tumbled to hold on.",,Keeper,"44. SE Marsh c WP Saha b Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (1st innings)",Shami
12,45,JA Burns,caught,KL Rahul,58,1,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-45,"tries to go big again and lofts it, mid on is deepish now and it is Rahul who has run back to take it over his head, he tumbles and clutches the ball with some emotion, it has been a rough series for him so far.",,InField,"45. JA Burns c KL Rahul b Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (1st innings)",Shami
12,46,RJ Harris,caught,R Ashwin,25,1,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-46,"fun is over for Harris as his hook finds deep backward square leg to give Shami his fifth, and Smith instantly calls his batsmen back.",,InField,"46. RJ Harris c R Ashwin b Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (1st innings)",Shami
12,47,SPD Smith,lbw,,71,3,v Australia,Sydney,Australia,06-Jan-15,Test # 2156,shami-wkt-47,"Shami has struck against the run of play, and this is a big wicket, this is swinging in full, Smith is struck plumb in front and loses balance, walks back to generous applause, but HotSpot shows a very faint glimmer on the inside edge on replays.",,,"47. SPD Smith lbw  Shami
Test Match#: 12.0: v Australia at Sydney in 2015 (2nd innings)",Shami
13,48,R Chandrika,caught,WP Saha,16,2,v West Indies,North Sound,West Indies,21-Jul-16,Test # 2207,shami-wkt-48,"yelps and cackles and roars from the Indians as Chandrika pushing at balls with hard hands catches up with him. This is back of a length and outside off, but the batsman thrusts himself at it, following the away movement off the seam, gets an edge and Saha is safe as houses.",,Keeper,"48. R Chandrika c WP Saha b Shami
Test Match#: 13.0: v West Indies at North Sound in 2016 (1st innings)",Shami
13,49,DM Bravo,caught,WP Saha,11,2,v West Indies,North Sound,West Indies,21-Jul-16,Test # 2207,shami-wkt-49,"extra bounce! He's looked excellent this morning, his lines have been relentlessly outside off, and he is pushing through his action so nicely that he is getting the ball to misbehave just enough. This back of a length delivery lifts more than Bravo expects outside off and the little glide through point instead becomes a top edge to the keeper. Pushed at the ball because of the angle into him, it straightens to undo him.",,Keeper,"49. DM Bravo c WP Saha b Shami
Test Match#: 13.0: v West Indies at North Sound in 2016 (1st innings)",Shami
13,50,MN Samuels,caught,WP Saha,1,2,v West Indies,North Sound,West Indies,21-Jul-16,Test # 2207,shami-wkt-50,"50th in Tests for Shami, and its a fine delivery. In the off stump channel, against a man who hasn't been very keen to move his feet forward or across. Thrusts his hands out, only to feather an edge through to the wicketkeeper.",Yes,Keeper,"50. MN Samuels c WP Saha b Shami
Test Match#: 13.0: v West Indies at North Sound in 2016 (1st innings)",Shami
13,51,J Blackwood,caught,AM Rahane,0,2,v West Indies,North Sound,West Indies,21-Jul-16,Test # 2207,shami-wkt-51,"two in the over, Shami's lines have been outstanding this morning and he has had this knack of getting this Antigua pitch to give him treasonous extra bounce. The hosts had a big, tall fast bowler doing that. He could only get two wickets in 21 overs. Here Shami has that many in five balls. Back of a length ball on a fifth stump line, Blackwood pushes at it, gets a thick edge and Rahane takes a lovely catch, revers cup, in front of his eyes, in the cordon.",,,"51. J Blackwood c AM Rahane b Shami
Test Match#: 13.0: v West Indies at North Sound in 2016 (1st innings)",Shami
14,52,R Chandrika,caught,KL Rahul,5,1,v West Indies,Kingston,West Indies,30-Jul-16,Test # 2211,shami-wkt-52,"sharp catch by Rahul at fine gully. Short of a length, sixth-stump line, and seaming away. There is no need to play at this but Chandrika pushes at it with hard hands, and gets a thick edge, which flies. There are two gullies, and Rahul is the finer of them, and takes this in front of his head. Good sharp reaction from the India opener who could be batting today itself. To make it worse for Chandrika, Shami mimics Chandrika's pre-ball preparations with his arm.",,close-in,"52. R Chandrika c KL Rahul b Shami
Test Match#: 14.0: v West Indies at Kingston in 2016 (1st innings)",Shami
14,53,RL Chase,caught,S Dhawan,10,1,v West Indies,Kingston,West Indies,30-Jul-16,Test # 2211,shami-wkt-53,"and Shami has drawn a classic Test-match dismissal although the batting hasn't been the smartest. It began with him bowling short of a length and a set of stumps outside off last over. With every ball Shami has brought the line and length closer to off in order to make him play and play off the front foot. However you can't get too close to the batsman so the margin is little. And now he has found the right length and right line. On a good length, about fifth-stump line. Chase drives on the up, and edges it through. And what happens after it will please India a lot. A lovely low slip catch from Dhawan. Slip catching has been India's bugbear since Dravid and Tendulkar and Laxman retired.",,slip-cordon,"53. RL Chase c S Dhawan b Shami
Test Match#: 14.0: v West Indies at Kingston in 2016 (1st innings)",Shami
14,54,MN Samuels,bowled,,0,3,v West Indies,Kingston,West Indies,30-Jul-16,Test # 2211,shami-wkt-54,"another wicket. Rain or no rain, West Indies batsmen are not spending too much time on the pitch. This is a perfect delivery, though. The coaches all talk about the length that hits the top of off. Shami does it. Pitches short of a length, middle and off, Samuels defends for the angle, but it holds its line to peg back the off stump.",,,"54. MN Samuels b  Shami
Test Match#: 14.0: v West Indies at Kingston in 2016 (2nd innings)",Shami
14,55,DM Bravo,caught,KL Rahul,20,3,v West Indies,Kingston,West Indies,30-Jul-16,Test # 2211,shami-wkt-55,"and Bravo has finally fallen to the short ball. This was, I am sorry to say, a-comin'. Bravo has been abysmal against the short ball all morning, continuously fending at them while taking his eyes off them, making no attempt to get out of the way or hook, like proper batsmen do. This one is at his throat, his head is looking away, the gloves are up in self defence, and before we know third slip is the taking the catch, and the lunch is ready.",,slip-cordon,"55. DM Bravo c KL Rahul b Shami
Test Match#: 14.0: v West Indies at Kingston in 2016 (2nd innings)",Shami
15,56,LR Johnson,caught,RG Sharma,0,4,v West Indies,Gros Islet,West Indies,09-Aug-16,Test # 2215,shami-wkt-56,"Johnson pops a catch to short leg and exits for a five-ball duck! Rohit, under the helmet, takes it to his right. Good catch. Finally, he has hung onto one. Back of a length and angled in, Johnson can't keep it down. Fends with firm hands to the fielder.",,close-in,"56. LR Johnson c RG Sharma b Shami
Test Match#: 15.0: v West Indies at Gros Islet in 2016 (2nd innings)",Shami
15,57,SO Dowrich,caught,V Kohli,5,4,v West Indies,Gros Islet,West Indies,09-Aug-16,Test # 2215,shami-wkt-57,"Edged and taken by Kohli at second slip. Fuller, angled in, and straightens around off. Dowrich pushes and nicks it behind. Shami built that up with a volley of dots. Kohli, who stood forward than usual at second slip, takes it low. Good ploy, considering the edges aren't carrying.",,slip-cordon,"57. SO Dowrich c V Kohli b Shami
Test Match#: 15.0: v West Indies at Gros Islet in 2016 (2nd innings)",Shami
15,58,DM Bravo,caught,RG Sharma,59,4,v West Indies,Gros Islet,West Indies,09-Aug-16,Test # 2215,shami-wkt-58,"Shortish and angled in from wide of the crease, round the wicket. Bravo fends and squirts an inside edge that loops off the thigh pad and drops into the hands of Rohit at short leg who is standing a few feet back. After all those verbal volleys between Bravo and Rohit, the latter has the last laugh. India two away from triumph.",,close-in,"58. DM Bravo c RG Sharma b Shami
Test Match#: 15.0: v West Indies at Gros Islet in 2016 (2nd innings)",Shami
17,59,BJ Watling,lbw,,18,4,v New Zealand,Kanpur,India,22-Sep-16,Test # 2221,shami-wkt-59,"given! Watling has been trapped in front. Pad first, then bat. Shami gets one to jag back in prodigiously. Fuller than a good length - an ideal length. The ball comes back in and strikes Watling in front of leg, bringing his bat down way too late. Umpire Kettleborough raises the finger to add to NZ's misery. Big wicket this, Watling has one of NZ's staunchest defences.",,,"59. BJ Watling lbw  Shami
Test Match#: 17.0: v New Zealand at Kanpur in 2016 (2nd innings)",Shami
17,60,MD Craig,bowled,,1,4,v New Zealand,Kanpur,India,22-Sep-16,Test # 2221,shami-wkt-60,"straight through and Shami strikes again. Beautiful display of reverse swing bowling. The ball darts back in from a full length, moves in the air and sneaks through a massive gap between bat and pad. Craig's feet are nowhere, plausibly to avoid the lbw but the stumps are exposed and Shami finds a way through. Started that nice and wide outside off to create doubt. Lovely bowling this from Shami.",,,"60. MD Craig b  Shami
Test Match#: 17.0: v New Zealand at Kanpur in 2016 (2nd innings)",Shami
18,61,TWM Latham,lbw,,1,2,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-61,"and strikes immediately! Angled into the stumps, good length, comes in off the seam just a little to beat the inside edge as Latham is forced to play around his front pad to defend. Hits pad in front of middle stump, and Richard Kettleborough has no hesitation in giving that out.",,,"61. TWM Latham lbw  Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (1st innings)",Shami
