TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,Innings,Opposition,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails
3,11,MJ Clarke,bowled,,91,1,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-11,"Clarke is gone, he tried to attack Jadeja, went down a for a big sweep, missed, and Jadeja, accurate as always, hits the stumps, can't blame Clarke really, with hardly any batting left, he had to do something, and quickly. 236/9",,,"11. MJ Clarke b  Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (1st innings)"
3,12,MJ Clarke,bowled,,16,3,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-12,"what a ripper. Clarke has done everything right with this, but the off stump is flat. On a length, dipping on him, pitches middle, Clarke moves forward to defend, and the ball turns past the bat and flattens the off stump. Jadeja has bowled Clarke twice in this match. Clarke is a bit stunned. Unlike Henriques in the first innings, Clarke was playing straight here. 108/4 ",,,"12. MJ Clarke b  Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (2nd innings)"
3,13,EJM Cowan,caught,V Sehwag,44,3,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-13,"Cowan is finally gone, caught off the pad of Dhoni by Sehwag at slip. Flat, shortish, Cowan goes to cut, but the ball skids on, takes a healthy edge, which hits Dhoni's pad just above the knee roll, the plateauish region from where it bounces to slip where Sehwag is alert. Cowan doesn't look pleased. Is he just disappointed or did he want the umpires to take a look at the replay to see if it bounced off the ground? I won't analyse facial reactions. 111/5 ",,InField,"13. EJM Cowan c V Sehwag b Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (2nd innings)"
3,14,PM Siddle,caught,V Kohli,4,3,v Australia,Hyderabad,India,2 Mar 2013,Test # 2076,jadeja-wkt-14,"Jadeja and Dhoni can do no wrong, and the Indian fielders are falling over each other to claim catches. Don't forget Dhoni's pad, though. Flat ball, outside off, turns away, takes the edge, hits Dhoni's glove and then the pad, and the ricochet is going to Sehwag at slip but Kohli from gull plucks it in front of the senior Delhi batsman. 130/8",,slip-cordon,"14. PM Siddle c V Kohli b Jadeja
Test Match#: 3.0: v Australia at Hyderabad in 2013 (2nd innings)"
4,15,DA Warner,caught,MS Dhoni,71,1,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-15,"Jadeja strikes for India. This selection from Dhoni and co keeps on working. Warner wants to leave the crease in defence, but for some reason restrains his forward movement. Consequently he is not quite to the pitch of the ball, which bounces a little extra, hits the inside edge and then the top of the pad to lob up for an easy catch for Dhoni to run down the pitch and take. 139/1 ",,Keeper,"15. DA Warner c MS Dhoni b Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (1st innings)"
4,16,MJ Clarke,stumped,MS Dhoni,0,1,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-16,"Jadeja is on a hat-trick. And he has comprehensively beaten Clarke with his last two balls. That is as comprehensive as they come. Clarke is again unsure with his forward movement, Jadeja rips across one big offbreak, which lands on off, short of his reach, and turns across the bat. Clarke has been dragged outside the crease too. And Dhoni is super quick with the stumping. 139/2 ",,,"16. MJ Clarke st MS Dhoni b Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (1st innings)"
4,17,PM Siddle,lbw,,0,1,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-17,"and the first ball of the bonus overs has taken the wicket. Full, really full, pitches middle and leg, holds its line, hits the inside half of the pad. Kettleborough takes his time before raising the finger. And after he has been given out lbw, Kohli seems to be suggesting he had caught it too. No, Virat, you are not getting that catch against your name. 251/7",,,"17. PM Siddle lbw  Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (1st innings)"
4,18,MJ Clarke,caught,CA Pujara,18,3,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-18,"Jadeja has got Clarke again. Fifth time this series. He gets a full dart into the pads, looks to flick it, gets an inside edge onto the pad, and Pujara claims an easy catch at short leg. All Saurashtra dismissal. Jadeja has got Clarke five out of six times. 119/5 ",,close-in,"18. MJ Clarke c CA Pujara b Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (2nd innings)"
4,19,MC Henriques,caught,RA Jadeja,2,3,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-19,"Jadeja takes a blinder. He is on absolute fire. Length ball, on off, played uppishly well to the left of Jadeja who dives full length to take this with both hands. That's a superb catch. 126/7 ",,return catch,"19. MC Henriques c RA Jadeja b Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (2nd innings)"
4,20,MA Starc,caught,R Ashwin,35,3,v Australia,Mohali,India,14 Mar 2013,Test # 2081,jadeja-wkt-20,"fittingly Jadeja finishes off the innings. He has been a revelation this series. Gets this to turn ina dn bounce a little extra, takes the inside edge onto the pad, and Ashwin takes a one-hander at backward short leg. 223/10",,close-in,"20. MA Starc c R Ashwin b Jadeja
Test Match#: 4.0: v Australia at Mohali in 2013 (2nd innings)"
5,21,SR Watson,stumped,MS Dhoni,17,1,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-21,"if you are an Australian captain, run away when you see Jadeja. Australian captains have batted seven times in this series, and Jadeja has got them out six times. Watson charges down this time, but the length is slightly shorter than his reach, and then Jadeja gets sharp turn from in front of leg to leave Watson stranded. 115/4 ",,,"21. SR Watson st MS Dhoni b Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (1st innings)"
5,22,GJ Maxwell,caught,I Sharma,10,1,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-22,"soft dismissal. Doesn't pick the shot well. This is nowhere in his swinging arc. Premeditates the loft. This is not full enough to go for the loft, and he ends up dragging it across the line, and gives mid-on a simple catch. 129/6",,InField,"22. GJ Maxwell c I Sharma b Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (1st innings)"
5,23,GJ Maxwell,bowled,,8,3,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-23,"bowled him with a ripper! Jadeja pitches on a good length around middle stump, Maxwell moves forward to defend but isn't close enough to the pitch of the ball to cover for the turn that takes a faint outside edge and then hits off stump. Australia effectively 5 for 1. 15/1 ",,,"23. GJ Maxwell b  Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (2nd innings)"
5,24,DA Warner,lbw,,8,3,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-24,"lbw! That is plumb. Jadeja pitched around off and the ball skidded on with the arm, Warner played back and tried to defend and was hit on the pad in front of middle. Jadeja was almost celebrating before the umpire raised the finger. Looks like Warner is getting a few send-offs.. 20/2 ",,,"24. DA Warner lbw  Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (2nd innings)"
5,25,EJM Cowan,lbw,,24,3,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-25,"lbw! Umpire Kettleborough takes a while but eventually gives Cowan, the steadiest of the batsmen today, his marching orders. Cowan played back to a ball that pitched outside off and spun into him sharply. It hit him in front of middle and that looked pretty out. Could this game finish today?. 53/5 ",,,"25. EJM Cowan lbw  Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (2nd innings)"
5,26,SPD Smith,bowled,,18,3,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-26,bowled him! Smith did not offer a shot thinking the ball from round the wicket from Jadeja would turn away after pitching outside off stump. It did not. It went on with the arm and clipped off stump. That kept low too. 94/6 ,,,"26. SPD Smith b  Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (2nd innings)"
5,27,MG Johnson,bowled,,0,3,v Australia,Delhi,India,22 Mar 2013,Test # 2085,jadeja-wkt-27,"bowled him once again, Jadeja has his fifth! And this one is a ripper. The previous one did not turn, but this one did. He tossed it up across the left-hander from round the wicket, pitching the ball outside off stump, drawing Johnson into a tentative drive. There was a gap between bat and pad and the ball spun back through it to hit middle. 94/7",,,"27. MG Johnson b  Jadeja
Test Match#: 5.0: v Australia at Delhi in 2013 (2nd innings)"
6,28,GC Smith,caught,S Dhawan,47,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-28,"outstanding catch from Dhawan breaks the opening stand, Smith wanting to go for a big one, down the track and looked to launch that over mid-on, hit high on the blade and the ball swirls towards midwicket, Dhawan has to run back a long way to get to that one, judges it perfectly and takes it as it drops over his shoulder, falling over as he collects it, it was the bounce off the footmarks that did Smith in, rising up lot more than he expected. 103/1 ",,InField,"28. GC Smith c S Dhawan b Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
6,29,AN Petersen,caught,M Vijay,62,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-29,"another one for India! outside edge snapped up at slip. Darts in on middle and gets good turn, but it's the bounce that ruined it for Petersen. The ball takes the very shoulder of the bat and was dying on M Vijay, but he dove forward and a touch to his right to pick up a smart catch. India are getting on a roll here, with the ball reversing a touch as well. 113/3 ",,slip-cordon,"29. AN Petersen c M Vijay b Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
6,30,AB de Villiers,caught,V Kohli,74,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-30,"lovely ball, simple catch, India celebrate a very big wicket! Drifts it in, not too much flight on offer but AB still goes forward. The ball pitches just in front of his left leg and turns appreciably to take the outside edge and present a simple catch to first slip. 240/4 ",,slip-cordon,"30. AB de Villiers c V Kohli b Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
6,31,JP Duminy,lbw,,28,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-31,"Duminy's caught on his back foot in front of the stumps and Jadeja's darts come through again! It turns from off stump and he was looking to whip it away through midwicket but misses and is struck on the pads on the knee roll, with him in front of leg stump. Jadeja's shoulders are given a bit of a massage by one of his team-mates. He's deserved it today. 298/5 ",,,"31. JP Duminy lbw  Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
6,32,JH Kallis,caught,MS Dhoni,115,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-32,"top edge off a sweep and he's been safely pouched by the keeper. The Kingsmead crowd rises up and Kallis salutes them as he raises his bat and soaks in the applause. The South African team comes down the steps of the change-room and congratulate him and shower him with hug. Possibly his last Test innings ever and he scores a very stoic ton. In the midst of all that, Jadeja has taken five. This was tossed up on off stump and he had gone for a wild sweep over square leg, too full for it I thought as he only gets the ball to go straight up and Dhoni calls for it and takes it cleanly. No room for that stroke either. 384/6 ",,Keeper,"32. JH Kallis c MS Dhoni b Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
6,33,M Morkel,caught,RA Jadeja,0,2,v South Africa,Durban,South Africa,26 Dec 2013,Test # 2111,jadeja-wkt-33,"forget the declaration, South Africa have been bowled out for 500 thanks to an outstanding return catch from Jadeja, who ends with six wickets, a push back from Morkel, and Jadeja moves across and dives to his right to pouch that, the lead is 166, Morkel whacks the ground with his bat in frustration. 500/10",,return catch,"33. M Morkel c RA Jadeja b Jadeja
Test Match#: 6.0: v South Africa at Durban in 2013 (1st innings)"
7,34,N Wagner,caught,V Kohli,0,1,v New Zealand,Auckland,New Zealand,6 Feb 2014,Test # 2118,jadeja-wkt-34,Kohli for spin is a good slip fielder. He takes a low sharp one here. Wagner expects this to turn. It doesn't. Takes the edge. Kohli does the rest. 495/9,,slip-cordon,"34. N Wagner c V Kohli b Jadeja
Test Match#: 7.0: v New Zealand at Auckland in 2014 (1st innings)"
7,35,TG Southee,caught,CA Pujara,14,3,v New Zealand,Auckland,New Zealand,6 Feb 2014,Test # 2118,jadeja-wkt-35,"Jadeja does it with the ball too. Fullish and straight, Southee turns his wrists, fails to keep it down. Short midwicket takes the catch. The Test continues to amaze - it's 379 for 7. India will love a target of under 400. 78/7",,InField,"35. TG Southee c CA Pujara b Jadeja
Test Match#: 7.0: v New Zealand at Auckland in 2014 (2nd innings)"
8,36,CJ Anderson,caught,RA Jadeja,2,3,v New Zealand,Wellington,New Zealand,14 Feb 2014,Test # 2120,jadeja-wkt-36,leading edge lobs back to the bowler and Jaddu is pleased as punch! Just slowed it up and Anderson was closing the face of the bat far too soon. Loops back to the bowler who takes it reverse-cupped around head-high. Innings win in sight for India. 94/5,,return catch,"36. CJ Anderson c RA Jadeja b Jadeja
Test Match#: 8.0: v New Zealand at Wellington in 2014 (2nd innings)"
10,37,JE Root,lbw,,13,2,v England,Lord's,England,17 Jul 2014,Test # 2130,jadeja-wkt-37,"forward, this skids on, strikes the pad, huge appeal for lbw and given out! There's been no spin but plenty of skid and this has done for Root, Bruce Oxenford thought about it before raising the finger. Ooo immediate hot of Hot Spot and it shows a big inside edge! Question was, did the edge come before the pad? They were close together but it definitely came off a thick inside edge and looking at another replay, it looks bat first, poor Root. 113/4 ",,,"37. JE Root lbw  Jadeja
Test Match#: 10.0: v England at Lord's in 2014 (1st innings)"
10,38,JM Anderson,caught,AM Rahane,19,2,v England,Lord's,England,17 Jul 2014,Test # 2130,jadeja-wkt-38,"tossed up, Anderson goes for the reverse sweep and he gloves it to slip! Jadeja gets his man, Anderson misjudging the stroke, it bounced a little on him and popped up for an easy chance to first slip, a big smile from the bowler. 319/10",,slip-cordon,"38. JM Anderson c AM Rahane b Jadeja
Test Match#: 10.0: v England at Lord's in 2014 (1st innings)"
10,39,SD Robson,lbw,,7,4,v England,Lord's,England,17 Jul 2014,Test # 2130,jadeja-wkt-39,"sliding on with the arm, strikes the pad before bat... and given! What a start for Sir Jaddu, following on from his sparkling innings earlier! Robson shakes his head, he has a filthy look on his face, but Hawk-Eye backs up Dharmasena, suggesting the impact was just in line with off stump, definitely pad before bat and India have their first scalp. 12/1",,,"39. SD Robson lbw  Jadeja
Test Match#: 10.0: v England at Lord's in 2014 (2nd innings)"
11,40,AN Cook,caught,MS Dhoni,95,1,v England,Southampton,England,27 Jul 2014,Test # 2132,jadeja-wkt-40,"slides down the leg side, Cook tries to whip it away and there's a huge cry for caught behind and it's given out! Cook falls five short of a century, a great shame for him but he'll surely take the 95 after his desperate run recently. Simply complete misfortunate there for Cook, it just skidded on and he was perhaps trying to play with too square a bat, it was a faint tickle and a smart catch from Dhoni. There's a little spike on Real Time Snicko. 213/2 ",,Keeper,"40. AN Cook c MS Dhoni b Jadeja
Test Match#: 11.0: v England at Southampton in 2014 (1st innings)"
11,41,JC Buttler,bowled,,85,1,v England,Southampton,England,27 Jul 2014,Test # 2132,jadeja-wkt-41,"flat delivery just outside off, Buttler stepped back to try and pull but he gets an inside edge onto the off stump so the fun comes to an end. A superb innings from Buttler, such clean striking but that was too full to pull and Buttler dragged it into his own timbers. 569/7",,,"41. JC Buttler b  Jadeja
Test Match#: 11.0: v England at Southampton in 2014 (1st innings)"
11,42,GS Ballance,caught,CA Pujara,38,3,v England,Southampton,England,27 Jul 2014,Test # 2132,jadeja-wkt-42,"pressed forward and the ball balloons off the front pad to short leg... Given by Erasmus, after a few moments' thought! Did it come off the glove? Jadeja certainly thought so, the close catchers all went up in celebration. There were two sounds but replays suggest Ballance is unlucky again, the ball flicking the pad and then hitting his thigh. Either way, his sprightly knock is ended and the players go off for lunch. 80/2 ",,close-in,"42. GS Ballance c CA Pujara b Jadeja
Test Match#: 11.0: v England at Southampton in 2014 (2nd innings)"
11,43,IR Bell,bowled,,23,3,v England,Southampton,England,27 Jul 2014,Test # 2132,jadeja-wkt-43,"bowled around his legs! Bell's breezy knock ends rather tamley. It was a touch too full for the shot, turns and scuttles on to kiss the pad and knock on the stumps. 106/3 ",,,"43. IR Bell b  Jadeja
Test Match#: 11.0: v England at Southampton in 2014 (2nd innings)"
11,44,JE Root,bowled,,56,3,v England,Southampton,England,27 Jul 2014,Test # 2132,jadeja-wkt-44,"gone, bowled him trying to sweep! Jadeja fired it in from over the wicket, Root swiped and missed, the woodwork is rattled... and that brings the England declaration, with an early tea being taken. 205/4",,,"44. JE Root b  Jadeja
Test Match#: 11.0: v England at Southampton in 2014 (2nd innings)"
12,45,JM Anderson,lbw,,9,2,v England,Manchester,England,7 Aug 2014,Test # 2134,jadeja-wkt-45,"straight from Jadeja. Anderson was looking to work that into the leg side. Walked across the stumps, was rapped on the pads, and Rod Tucker gave him out lbw.. 367/9",,,"45. JM Anderson lbw  Jadeja
Test Match#: 12.0: v England at Manchester in 2014 (1st innings)"
13,46,F du Plessis,bowled,,0,2,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-46,"whoaa! Faf makes the same mistake as van Zyl, he comes forward to cover the stumps, leaves it alone assuming it was missing the stumps, but it keeps coming in to strike the top of off. Jadeja has a big wicket in his first over. He takes off on a celebratory run towards the slips where his captain is standing. Big big wicket. 9/2 ",,,"46. F du Plessis b  Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (1st innings)"
13,47,VD Philander,caught,AM Rahane,3,2,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-47,"edged and gone! Rahane takes a neat low catch at first slip. But the umpires want to check this again because they are not sure if that was taken cleanly. Wooo.. Jadeja's front-foot looks very close again. This was tossed up on the middle stump, it turned and caught the outside edge. Not much Philander could have done with that - it was a beautiful delivery. The catch seems fine. The no-ball call was also fine (according to the umpire: I have my doubts. It didn't look like Jadeja had dragged his heel behind the line). 136/6 ",,slip-cordon,"47. VD Philander c AM Rahane b Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (1st innings)"
13,48,DW Steyn,stumped,WP Saha,6,2,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-48,"harakiri! This was coming. He comes down the pitch and plays down the wrong line. Jadeja had pushed it a touch quicker and it slides through the gap and down the leg side, Saha does the rest.. 179/8",,,"48. DW Steyn st WP Saha b Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (1st innings)"
13,49,VD Philander,lbw,,1,4,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-49,"and he is in business first ball, the Philander experiment fails for South Africa, Jadeja catches him half forward with one that slides in with the angle, umpire Kettleborough raises the finger right away, and that looks plumb unless there was an inside edge, replays do not suggest any. 8/1 ",,,"49. VD Philander lbw  Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (2nd innings)"
13,50,HM Amla,bowled,,0,4,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-50,"and Jadeja takes off on a run, no need for turn, no need for bounce, Amla has left a length ball that carries straight in and hits middle stump, as potent as any spitting jaffa when turn is on the batsman's mind, batsmen seem to have already dismissed themselves in their minds before they walk to the crease you would think. 10/3 ",,,"50. HM Amla b  Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (2nd innings)"
13,51,DJ Vilas,bowled,,7,4,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-51,"Jadeja hits the top of off, VIlas was pushing forward, but he wasn't looking to play, keeping the bat well behind the pad, probably expecting a lot more turn than there was in the end, as it straightened only enough to disturb the bails. 60/6 ",,,"51. DJ Vilas b  Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (2nd innings)"
13,52,SR Harmer,caught,AM Rahane,11,4,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-52,"and strikes first ball once again, angles it in full on leg, it spins across, Harmer tries to turn it to leg, the leading edge settles into Rahane's hands at slip after brushing the batsman's thigh. 102/7 ",,slip-cordon,"52. SR Harmer c AM Rahane b Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (2nd innings)"
13,53,Imran Tahir,lbw,,4,4,v South Africa,Mohali,India,5 Nov 2015,Test # 2186,jadeja-wkt-53,"Jadeja seals the win with his fifth, goes full, and hits the boot in front of off before Tahir's bat can do anything about it. 109/10",,,"53. Imran Tahir lbw  Jadeja
Test Match#: 13.0: v South Africa at Mohali in 2015 (2nd innings)"
14,54,D Elgar,bowled,,38,1,v South Africa,Bengaluru,India,14 Nov 2015,Test # 2188,jadeja-wkt-54,"rolls onto the stumps! Elgar is morose beyond words, but he should have played with a straight bat. Got into the sweep, but he had done so by exposing his stumps. The ploy was to put the leg-before out of play, but the flip side of those tactics helps India. Jaddu bowls his usually accurate middle and off line. Elgar tries to make a touch more out of it by moving outside the line and tries to tickle it fine. Gets just a bit of glove and it wanders back and tips middle. 78/4 ",,,"54. D Elgar b  Jadeja
Test Match#: 14.0: v South Africa at Bengaluru in 2015 (1st innings)"
14,55,DJ Vilas,caught,RA Jadeja,15,1,v South Africa,Bengaluru,India,14 Nov 2015,Test # 2188,jadeja-wkt-55,"right back at him. How simple. How kind. Vilas runs down the track, but he might have given the ghost too early. Jaddu holds the ball back enough that he can't get to the pitch. Vilas goes for the drive on the up, the face of his bat closes, and the catch is mostly a formality. Two wasted wickets in this session, both to Jaddu, neither ball turned.. 159/6 ",,return catch,"55. DJ Vilas c RA Jadeja b Jadeja
Test Match#: 14.0: v South Africa at Bengaluru in 2015 (1st innings)"
14,56,AB de Villiers,caught,WP Saha,85,1,v South Africa,Bengaluru,India,14 Nov 2015,Test # 2188,jadeja-wkt-56,"India are celebrating. Jaddu is hugging the heck out of Saha and the umpires are going for a second opinion. Soft signal is out. AB was down the track, but instead of padding it all way, he does try to play a shot here. The ball bounces a touch more, takes a lot of the pad and wanders towards the leg side in front of the wicket. Saha has watched it all, races forward, dives full length and has taken it one-handed. That much is clear. But did he get bat on it. The umpire is only checking if this is a clean catch, so he definitely did touch it, according to them. Down comes the reply. It is the affirmative and AB walks back, denied a hundred in his 100th Test. At least for now. Roar from Bangalore, clapping from his team-mates and his family and he leads the players off with a raise of his bat. 177/7 ",,Keeper,"56. AB de Villiers c WP Saha b Jadeja
Test Match#: 14.0: v South Africa at Bengaluru in 2015 (1st innings)"
14,57,K Rabada,caught,CA Pujara,0,1,v South Africa,Bengaluru,India,14 Nov 2015,Test # 2188,jadeja-wkt-57,"oh that's all it took. Just a little more flight to leave Rabada in a bit of strife. Plonky sort of forward defensive, playing with hard hands, which is perilous when he can't reach the pitch. The ball turns thereafter, takes the inside edge and lands in Pujara's lap. 177/8",,,"57. K Rabada c CA Pujara b Jadeja
Test Match#: 14.0: v South Africa at Bengaluru in 2015 (1st innings)"
15,58,Imran Tahir,bowled,,4,2,v South Africa,Nagpur,India,25 Nov 2015,Test # 2189,jadeja-wkt-58,"all at sea and Tahir is cleaned up. Pitches on middle and spins a touch with the angle, takes out off stump. Not much turn but he is a tailender for a reason. Misses completely. And the off stump is taken out.. 9/2 ",,,"58. Imran Tahir b  Jadeja
Test Match#: 15.0: v South Africa at Nagpur in 2015 (1st innings)"
15,59,AB de Villiers,caught,RA Jadeja,0,2,v South Africa,Nagpur,India,25 Nov 2015,Test # 2189,jadeja-wkt-59,"it's all falling apart, shorter length delivery outside off, AB goes back and tries to work this into the leg side, but the ball stops in the pitch and turns a mile, AB in the form that he is in, gets close enough to the ball to get a leading edge, the ball spoons up in the air towards short mid-on. Jadeja runs around and takes it and India are ecstatic. The big fish has to go.. 12/5 ",,return catch,"59. AB de Villiers c RA Jadeja b Jadeja
Test Match#: 15.0: v South Africa at Nagpur in 2015 (1st innings)"
